Name: 广东珠江, URL: http://218.13.170.98:9901/tsfile/live/1000_1.m3u8, Date: 03-31-2024, Resolution: 1920x1080 • Fast, Response Time: 437ms
Name: 广东珠江, URL: http://218.17.205.210:9901/tsfile/live/1000_1.m3u8, Date: 04-07-2024, Resolution: 720x405 • Fast, Response Time: 499ms
Name: 广东珠江, URL: http://113.100.72.95:8899/udp/239.77.0.114:5146, Date: 03-22-2024, Resolution:  Faster, Response Time: 407ms
Name: 广东珠江, URL: http://219.135.208.218:8083/tsfile/live/0017_1.m3u8, Date: 01-22-2024, Resolution: None, Response Time: 408ms
Name: 广东珠江, URL: http://113.86.205.10:8090/hls/105/index.m3u8, Date: 03-04-2024, Resolution:  Faster, Response Time: 414ms
Name: 广东珠江, URL: http://113.86.204.95:9999/udp/239.77.0.114:5146, Date: 03-26-2024, Resolution:  Fastest, Response Time: 416ms
Name: 广东珠江, URL: http://gmxw.7766.org:808/hls/83/index.m3u8, Date: 01-17-2024, Resolution: None, Response Time: 3834ms
Name: 开平综合, URL: http://php.jdshipin.com:8880/chudian.php?id=kpzh, Date: 03-27-2024, Resolution: None, Response Time: 2315ms
Name: 开平生活, URL: http://php.jdshipin.com:8880/chudian.php?id=kpsh, Date: 03-27-2024, Resolution: None, Response Time: 1318ms
Name: 广东体育, URL: http://113.100.72.95:8899/udp/239.77.0.112:5146, Date: 04-06-2024, Resolution: 1920x1080 • Faster, Response Time: 406ms
Name: 广东体育, URL: http://218.13.170.98:9901/tsfile/live/0019_1.m3u8, Date: 04-05-2024, Resolution: 1920x1080 • Faster, Response Time: 424ms
Name: 广东体育, URL: http://php.jdshipin.com:8880/chudian.php?id=gdty, Date: 04-06-2024, Resolution: 1280x720 • Faster, Response Time: 1801ms
Name: 广东体育, URL: http://219.135.208.218:8083/tsfile/live/1000_1.m3u8, Date: 03-29-2024, Resolution: None, Response Time: 402ms
Name: 广东体育, URL: http://219.135.208.218:8083/tsfile/live/1000_1.m3u8, Date: 01-21-2024, Resolution: None, Response Time: 408ms
Name: 广东体育, URL: http://113.100.72.95:8899/udp/239.77.0.168:5146, Date: 03-22-2024, Resolution:  Fast, Response Time: 416ms
Name: 广东体育, URL: http://gmxw.7766.org:808/hls/2/index.m3u8, Date: 11-03-2023, Resolution: None, Response Time: 934ms
Name: 广东体育, URL: http://api2.52tb.xyz/info?id=414&token=20230326xflvzc, Date: 08-17-2023, Resolution: None, Response Time: 1341ms
Name: 广东体育, URL: http://r.jdshipin.com/LiYdg, Date: 01-16-2024, Resolution:  Faster, Response Time: 1801ms
Name: 广东新闻, URL: http://113.86.204.95:9999/udp/239.77.0.173:5146, Date: 03-04-2024, Resolution:  Faster, Response Time: 403ms
Name: 广东新闻, URL: http://113.101.119.52:808/hls/106/index.m3u8, Date: 02-16-2024, Resolution:  Faster, Response Time: 406ms
Name: 广东新闻, URL: http://gmxw.7766.org:808/hls/5/index.m3u8, Date: 11-06-2023, Resolution: None, Response Time: 607ms
Name: 广东卫视, URL: http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8, Date: 04-05-2024, Resolution: None, Response Time: 362ms
